cname,enabled,active,discourseTopics,discourseCategories,discourseTopicPosts,protocol,proposals,total_records,segment
bifi,True,False,47,7,6248,1,9,6312,high
biswaporgeth,True,False,47,7,6248,1,24,6327,high
bitdao,True,False,95,10,929,1,32,1067,medium
bitembassyeth,True,False,95,10,929,1,27,1062,medium
blackpoolhqeth,True,False,95,10,929,1,13,1048,medium
bleepsdao,True,False,95,10,929,1,13,1048,medium
blockedDao,True,False,95,10,929,1,4,1039,medium
blockzerolabs,True,False,95,10,929,1,49,1084,medium
blueberryDao,True,False,95,10,929,1,7,1042,medium
blur,True,False,95,10,929,1,2,1037,medium
blvkhvnd,True,False,95,10,929,1,23,1058,medium
bottoeth,True,False,95,10,929,1,64,1099,medium
bprotocol,True,False,95,10,929,1,14,1049,medium
braintrust,True,False,95,10,929,1,26,1061,medium
brightmomentseth,True,False,95,10,929,1,30,1065,medium
budsDao,True,False,95,10,929,1,4,1039,medium
builderdao,True,False,95,10,929,1,98,1133,medium
bullsontheblocketh,True,False,95,10,929,1,128,1163,medium
buzzedbearhideout,True,False,95,10,929,1,51,1086,medium
cabin,False,False,95,10,929,1,58,1093,medium
cakevoteeth,True,False,95,10,929,1,2744,3779,medium
candle,False,False,95,10,929,1,9,1044,medium
checkedDao,True,False,95,10,929,1,3,1038,medium
ciphershooterseth,True,False,95,10,929,1,2,1037,medium
citydao,True,False,130,8,3159,1,68,3366,medium
clubeth,True,False,130,8,3159,1,21,3319,medium
compound,True,False,442,8,2563,1,340,3354,medium
compoundgrants,True,False,442,8,2563,1,2,3016,medium
compoundTest,True,False,442,8,2563,1,1,3015,medium
conicdaoeth,True,False,442,8,2563,1,162,3176,medium
conjure,True,False,442,8,2563,1,1,3015,medium
convexfinance,False,False,442,8,2563,1,1367,4381,medium
copernicusbeereth,True,False,442,8,2563,1,21,3035,medium
coweth,True,False,442,8,2563,1,65,3079,medium
cre8reth,True,False,442,8,2563,1,80,3094,medium
creamfinance,True,False,160,4,10,1,112,287,few
creativeKidz,True,False,160,4,10,1,4,179,few
creativeorg,True,False,160,4,10,1,32,207,few
credmark,True,False,160,4,10,1,3,178,few
crowncapitaleth,True,False,160,4,10,1,14,189,few
cryptex,True,False,71,6,356,1,70,504,low
cryptocorgis,False,False,71,6,356,1,31,465,few
cultivatordaoeth,True,False,71,6,356,1,1,435,few
curvefi,True,False,58,6,702,1,203,970,low
dafoclub,True,False,58,6,702,1,3,770,low
daiprizepool,False,False,58,6,702,1,13,780,low
daomasters,True,False,58,6,702,1,62,829,low
daosquare,True,False,30,4,364,1,3,402,few
dappgooselabs,True,False,30,4,364,1,3,402,few
daxiodao,True,False,30,4,364,1,40,439,few
dcipeth,True,False,30,4,364,1,387,786,low
decentraland,True,False,829,12,2051,1,2705,5598,high
decentralgames,True,False,829,12,2051,1,283,3176,medium
decryptmediaeth,True,False,829,12,2051,1,16,2909,medium
defidollar,True,False,829,12,2051,1,8,2901,medium
defigeeketh,True,False,829,12,2051,1,84,2977,medium
defrag,True,False,829,12,2051,1,1,2894,medium
derivadex,True,False,829,12,2051,1,1,2894,medium
devdao,True,False,165,4,2888,1,41,3099,medium
dhedge,True,False,166,6,63,1,92,328,few
divastaking,True,False,166,6,63,1,10,246,few
dodobirdeth,True,False,166,6,63,1,24,260,few
doodles,True,False,141,5,706,1,53,906,low
dopewars,True,False,141,5,706,1,181,1034,medium
dorgeth,True,False,141,5,706,1,260,1113,medium
drc,True,False,141,5,706,1,16,869,low
dreamchain,True,False,141,5,706,1,16,869,low
dsd,False,False,141,5,706,1,3,856,low
dunjiaeth,True,False,141,5,706,1,160,1013,medium
dydx,True,False,187,9,2661,1,58,2916,medium
dydxgoveth,True,False,187,9,2661,1,19,2877,medium
earthfund,True,False,187,9,2661,1,8,2866,medium
ease,True,False,35,7,176,1,7,226,few
eduNouns,True,False,35,7,176,1,7,226,few
elementdao,True,False,35,7,176,1,48,267,few
elyfi,True,False,84,3,118,1,150,356,few
ens,True,False,304,8,16091,1,96,16500,high
entropy,True,False,304,8,16091,1,17,16421,high
epns,True,False,66,9,1529,1,118,1723,medium
esd,True,False,53,6,391,1,24,475,few
eulerfi,True,False,93,9,1059,1,60,1222,medium
evmavericks,True,False,93,9,1059,1,31,1193,medium
expansiondaoeth,True,False,93,9,1059,1,25,1187,medium
familydao,True,False,93,9,1059,1,8,1170,medium
fantomstarter,True,False,93,9,1059,1,8,1170,medium
fatcatsdaoeth,True,False,93,9,1059,1,29,1191,medium
fei,True,False,323,8,338,1,201,871,low
forefront,True,False,323,8,338,1,27,697,low
foundersdaoeth,True,False,323,8,338,1,95,765,low
fraxfi,True,False,323,5,3093,1,474,3896,medium
friendswithbenefits,True,False,323,5,3093,1,80,3502,medium
frontier,True,False,323,5,3093,1,1,3423,medium
futeraeth,True,False,323,5,3093,1,263,3685,medium
galeth,True,False,323,5,3093,1,35,3457,medium
gameminealliance,True,False,323,5,3093,1,74,3496,medium
gasdao,True,False,323,5,3093,1,20,3442,medium
gcr,True,False,323,5,3093,1,9,3431,medium
gearbox,True,False,98,4,1725,1,170,1998,medium
gelato,True,False,98,4,1725,1,10,1838,medium
genesisblockseth,True,False,98,4,1725,1,63,1891,medium
gitcoin,True,False,237,10,10798,1,220,11266,high
gmdaoeth,True,False,237,10,10798,1,95,11141,high
gmxeth,True,False,237,10,10798,1,43,11089,high
gnarseth,True,False,237,10,10798,1,104,11150,high
gnosis,True,False,237,10,10798,1,103,11149,high
goldfincheth,True,False,237,10,10798,1,76,11122,high
gooddollar,False,False,73,6,694,1,76,850,low
goodkarma,True,False,73,6,694,1,6,780,low
grailerseth,True,False,73,6,694,1,54,828,low
graphprotocol,True,False,131,5,938,1,4,1079,medium
grayboyseth,True,False,131,5,938,1,99,1174,medium
groxyz,True,False,131,5,938,1,54,1129,medium
grugslair,True,False,131,5,938,1,1,1076,medium
harvestfinance,True,False,131,5,938,1,19,1094,medium
hashflowdaoeth,True,False,131,5,938,1,28,1103,medium
hbotprpeth,True,False,131,5,938,1,188,1263,medium
headline,True,False,131,5,938,1,12,1087,medium
hectordaoeth,True,False,131,5,938,1,73,1148,medium
helixgeometryeth,True,False,131,5,938,1,3,1078,medium
hifidao,True,False,131,5,938,1,7,1082,medium
hopprotocol,True,False,80,6,1255,1,71,1413,medium
hournounsDao,True,False,80,6,1255,1,6,1348,medium
ideamarket,True,False,80,6,1255,1,6,1348,medium
idlefinance,True,False,109,4,1703,1,178,1995,medium
ilveth,True,False,109,4,1703,1,17,1834,medium
ilvgoveth,True,False,109,4,1703,1,38,1855,medium
indexCoop,True,False,480,6,4649,1,1353,6489,high
indexed,True,False,101,7,546,1,80,735,low
infinex,True,False,101,7,546,1,126,781,low
instadapp,True,False,103,4,298,1,54,460,few
interest,True,False,77,4,475,1,58,615,low
inverse,True,False,202,5,535,1,29,772,low
jadeprotocoleth,True,False,202,5,535,1,21,764,low
jam,True,False,202,5,535,1,1,744,low
joegovernanceeth,True,False,202,5,535,1,27,770,low
jpegdeth,True,False,202,5,535,1,135,878,low
juicebox,True,False,202,5,535,1,399,1142,medium
justtheflamingo,True,False,202,5,535,1,12,755,low
kalmyappeth,True,False,202,5,535,1,161,904,low
keep2r,True,False,202,5,535,1,2,745,low
keeperdao,True,False,96,5,330,1,44,476,few
kleros,True,False,20,14,548,1,32,615,low
klimadao,True,False,20,14,548,1,67,650,low
krausehouse,True,False,20,14,548,1,212,795,low
kuiqianeth,True,False,20,14,548,1,21,604,low
kuwaoracleeth,True,False,20,14,548,1,129,712,low
kyber,True,False,171,3,789,1,129,1093,medium
larpsDao,True,False,171,3,789,1,2,966,low
leaguedaoeth,True,False,171,3,789,1,4,968,low
lemon,True,False,171,3,789,1,4,968,low
lendhubeth,True,False,171,3,789,1,18,982,low
lexpunk,True,False,22,7,96,1,4,130,few
lgcryptounicornseth,True,False,22,7,96,1,56,182,few
lido,True,False,283,13,3065,1,376,3738,medium
lilnouns,True,False,80,5,71,1,251,408,few
lilToadzDao,True,False,80,5,71,1,12,169,few
linksdao,True,False,80,5,71,1,22,179,few
loopring,True,False,80,5,71,1,14,171,few
lootdao,True,False,231,11,1646,1,22,1911,medium
lyra,True,False,231,11,1646,1,87,1976,medium
m0,True,False,231,11,1646,1,35,1924,medium
magicappstoreeth,True,False,231,11,1646,1,322,2211,medium
mahadao,True,False,231,11,1646,1,1,1890,medium
makerdao,True,False,231,11,1646,1,1228,3117,medium
mantraDao,True,False,231,11,1646,1,76,1965,medium
mantradaoeth,True,False,231,11,1646,1,35,1924,medium
maplefinance,True,False,27,3,103,1,35,169,few
masknetworketh,True,False,27,3,103,1,14,148,few
mclub,True,False,27,3,103,1,11,145,few
meritcircleeth,True,False,27,3,103,1,36,170,few
metabrandseth,True,False,27,3,103,1,20,154,few
metacartel,True,False,45,5,1811,1,624,2486,medium
metafactory,True,False,81,7,171,1,64,324,few
metfiio,True,False,81,7,171,1,79,339,few
metislayer2eth,True,False,81,7,171,1,238,498,few
mferbuilderdao,True,False,81,7,171,1,39,299,few
mferbuyersdao,True,False,81,7,171,1,9,269,few
mirrorBlogIndexer,True,False,81,7,171,1,9,269,few
mistseth,True,False,81,7,171,1,18,278,few
mocanaeth,True,False,81,7,171,1,196,456,few
molochdao,True,False,81,7,171,1,49,309,few
molochrises,True,False,81,7,171,1,49,309,few
moodboardDao,True,False,81,7,171,1,2,262,few
moondao,True,False,81,7,171,1,162,422,few
moonwell,True,False,53,5,892,1,227,1178,medium
moonwell-governanceeth,True,False,53,5,892,1,23,974,low
morpho,True,False,53,5,892,1,75,1026,medium
mstable,True,False,173,6,2069,1,142,2391,medium
mutantsdaoeth,True,False,173,6,2069,1,130,2379,medium
nameDao,True,False,173,6,2069,1,7,2256,medium
nation3,True,False,173,6,2069,1,77,2326,medium
